Date/Time: 2018-02-23-13-19-05
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:D0:C9:A5
Units: seconds, kPa, mmHg
4064.24, 0.49, 3.71
4064.50, 0.50, 3.73
4064.76, 0.49, 3.71
4065.02, 0.49, 3.71
4065.27, 0.49, 3.71
4065.52, 0.50, 3.73
4065.78, 0.49, 3.71
4066.03, 0.50, 3.73
4066.29, 0.50, 3.73
4066.54, 0.50, 3.73
4066.80, 0.50, 3.73
4067.05, 0.50, 3.73
4067.31, 0.50, 3.74
4067.56, 0.50, 3.73
4067.82, 0.49, 3.71
4068.08, 0.49, 3.71
4068.33, 0.50, 3.73
4068.59, 0.49, 3.71
4068.85, 0.49, 3.71
4069.11, 0.50, 3.73
4069.36, 0.49, 3.71
4069.62, 0.50, 3.73
4069.88, 0.49, 3.71
4070.13, 0.49, 3.71
4070.38, 0.50, 3.74
4070.64, 0.50, 3.73
4070.89, 0.49, 3.71
4071.14, 0.50, 3.73
4071.39, 0.50, 3.73
4071.65, 0.49, 3.71
4071.91, 0.49, 3.71
4072.17, 0.49, 3.71
4072.42, 0.49, 3.71
4072.68, 0.49, 3.71
4072.93, 0.49, 3.71
4073.19, 0.50, 3.73
4073.44, 0.50, 3.73
4073.70, 0.49, 3.71
4073.95, 0.49, 3.71
4074.21, 0.50, 3.73
4074.46, 0.50, 3.73
4074.72, 0.49, 3.71
4074.98, 0.49, 3.71
4075.24, 0.50, 3.73
4075.50, 0.49, 3.71
4075.75, 0.50, 3.73
4076.00, 0.50, 3.73
4076.26, 0.50, 3.73
4076.51, 0.50, 3.73
4076.76, 0.49, 3.71
4077.02, 0.49, 3.71
4077.27, 0.50, 3.73
4077.52, 0.50, 3.73
4077.78, 0.49, 3.71
4078.03, 0.49, 3.71
4078.29, 0.49, 3.71
4078.54, 0.49, 3.71
4078.80, 0.50, 3.73
4079.05, 0.50, 3.73
4079.31, 0.50, 3.73
4079.57, 0.49, 3.71
4079.82, 0.50, 3.73
4080.07, 0.49, 3.71
4080.32, 0.50, 3.73
4080.58, 0.50, 3.73
4080.84, 0.49, 3.71
4081.09, 0.49, 3.71
4081.35, 0.49, 3.71
4081.61, 0.50, 3.73
4081.86, 0.49, 3.71
4082.12, 0.49, 3.71
4082.37, 0.50, 3.73
4082.63, 0.50, 3.73
4082.89, 0.50, 3.73
4083.14, 0.49, 3.71
4083.39, 0.50, 3.74
4083.64, 0.49, 3.71
4083.90, 0.50, 3.73
4084.15, 0.49, 3.71
4084.40, 0.50, 3.73
4084.66, 0.50, 3.73
4084.91, 0.49, 3.71
4085.17, 0.49, 3.71
4085.43, 0.50, 3.73
4085.69, 0.49, 3.71
4085.94, 0.49, 3.71
4086.19, 0.50, 3.73
4086.45, 0.50, 3.73
4086.70, 0.50, 3.73
4086.95, 0.49, 3.71
4087.21, 0.49, 3.71
4087.46, 0.50, 3.73
4087.71, 0.50, 3.73
4087.97, 0.50, 3.73
4088.22, 0.49, 3.71
4088.48, 0.50, 3.73
4088.73, 0.49, 3.71
4088.98, 0.49, 3.71
4089.23, 0.49, 3.71
4089.48, 0.50, 3.73
4089.74, 0.49, 3.71
4090.00, 0.50, 3.73
4090.25, 0.49, 3.71
4090.51, 0.50, 3.73
4090.76, 0.49, 3.71
4091.01, 0.49, 3.71
4091.27, 0.50, 3.73
4091.53, 0.49, 3.71
4091.78, 0.50, 3.73
4092.04, 0.50, 3.73
4092.29, 0.50, 3.73
4092.54, 0.50, 3.73
4092.80, 0.49, 3.71
4093.05, 0.50, 3.73
4093.31, 0.50, 3.73
4093.57, 0.50, 3.73
4093.82, 0.50, 3.73
4094.08, 0.50, 3.73
4094.34, 0.50, 3.73
4094.60, 0.50, 3.73
4094.85, 0.49, 3.71
4095.10, 0.50, 3.73
4095.35, 0.50, 3.73
4095.60, 0.50, 3.73
4095.86, 0.50, 3.73
4096.12, 0.49, 3.71
4096.37, 0.50, 3.73
4096.63, 0.49, 3.71
4096.88, 0.50, 3.73
4097.14, 0.49, 3.71
4097.39, 0.49, 3.71
4097.65, 0.49, 3.71
4097.91, 0.50, 3.73
4098.16, 0.50, 3.73
4098.41, 0.49, 3.71
4098.67, 0.49, 3.71
4098.92, 0.50, 3.73
4099.18, 0.49, 3.71
4099.43, 0.50, 3.73
4099.68, 0.49, 3.71
4099.94, 0.50, 3.73
4100.19, 0.50, 3.73
4100.45, 0.49, 3.71
4100.71, 0.50, 3.73
4100.97, 0.50, 3.73
4101.22, 0.50, 3.73
4101.47, 0.50, 3.73
4101.72, 0.50, 3.73
4101.98, 0.49, 3.71
4102.24, 0.50, 3.73
4102.49, 0.49, 3.71
4102.75, 0.49, 3.71
4103.00, 0.50, 3.73
4103.25, 0.49, 3.71
4103.51, 0.50, 3.73
4103.76, 0.49, 3.71
4104.02, 0.50, 3.73
4104.28, 0.49, 3.71
4104.53, 0.50, 3.73
4104.79, 0.50, 3.73
4105.04, 0.50, 3.73
4105.29, 0.49, 3.71
4105.55, 0.49, 3.71
4105.81, 0.50, 3.73
4106.07, 0.50, 3.73
4106.32, 0.50, 3.73
4106.57, 0.50, 3.73
4106.83, 0.50, 3.73
4107.08, 0.50, 3.73
4107.34, 0.49, 3.71
4107.60, 0.50, 3.73
4107.85, 0.50, 3.73
4108.10, 0.49, 3.71
4108.36, 0.49, 3.71
4108.61, 0.50, 3.73
4108.87, 0.50, 3.73
4109.13, 0.50, 3.73
4109.38, 0.50, 3.73
4109.63, 0.49, 3.71
4109.89, 0.50, 3.73
4110.14, 0.50, 3.73
4110.40, 0.49, 3.71
4110.65, 0.49, 3.71
4110.91, 0.49, 3.71
4111.16, 0.49, 3.71
4111.42, 0.49, 3.71
4111.67, 0.50, 3.73
4111.93, 0.50, 3.73
4112.18, 0.49, 3.71
4112.44, 0.49, 3.71
4112.70, 0.50, 3.73
4112.96, 0.50, 3.73
4113.21, 0.49, 3.71
4113.47, 0.49, 3.71
4113.73, 0.49, 3.71
4113.98, 0.49, 3.71
4114.23, 0.49, 3.71
4114.49, 0.49, 3.71
4114.74, 0.50, 3.73
4115.00, 0.49, 3.71
4115.25, 0.49, 3.71
4115.51, 0.49, 3.71
4115.76, 0.49, 3.71
4116.01, 0.49, 3.71
4116.27, 0.49, 3.71
4116.52, 0.50, 3.73
4116.77, 0.50, 3.73
4117.03, 0.49, 3.71
4117.28, 0.50, 3.74
4117.54, 0.50, 3.73
4117.79, 0.50, 3.73
4118.04, 0.49, 3.71
4118.30, 0.50, 3.73
4118.55, 0.50, 3.73
4118.81, 0.50, 3.73
4119.06, 0.49, 3.71
4119.32, 0.50, 3.73
4119.58, 0.49, 3.71
4119.84, 0.50, 3.73
4120.09, 0.49, 3.71
4120.34, 0.50, 3.73
4120.60, 0.50, 3.73
4120.85, 0.49, 3.71
4121.10, 0.50, 3.73
4121.35, 0.50, 3.73
4121.61, 0.50, 3.73
4121.86, 0.50, 3.73
4122.11, 0.50, 3.73
4122.37, 0.50, 3.73
4122.63, 0.50, 3.73
4122.88, 0.50, 3.73
4123.13, 0.49, 3.71
4123.39, 0.49, 3.71
4123.65, 0.50, 3.73
4123.90, 0.50, 3.73
4124.15, 0.50, 3.73
4124.41, 0.50, 3.73
4124.67, 0.50, 3.73
4124.92, 0.50, 3.73
4125.18, 0.50, 3.73
4125.44, 0.50, 3.73
4125.69, 0.50, 3.73
4125.95, 0.49, 3.71
4126.20, 0.50, 3.73
4126.45, 0.50, 3.73
4126.71, 0.49, 3.71
4126.96, 0.49, 3.71
4127.22, 0.49, 3.71
4127.47, 0.49, 3.71
4127.72, 0.50, 3.73
4127.97, 0.50, 3.73
4128.23, 0.50, 3.73
4128.49, 0.50, 3.73
4128.74, 0.49, 3.71
4128.99, 0.50, 3.73
4129.25, 0.49, 3.71
4129.51, 0.49, 3.71
4129.76, 0.49, 3.71
4130.02, 0.49, 3.71
4130.27, 0.49, 3.71
4130.52, 0.49, 3.71
4130.78, 0.49, 3.71
4131.03, 0.50, 3.73
4131.29, 0.50, 3.73
4131.54, 0.50, 3.73
4131.79, 0.50, 3.73
4132.05, 0.50, 3.73
4132.31, 0.50, 3.73
4132.56, 0.49, 3.71
4132.82, 0.50, 3.73
4133.07, 0.50, 3.73
4133.33, 0.50, 3.73
4133.58, 0.50, 3.73
4133.84, 0.49, 3.71
4134.10, 0.50, 3.73
4134.36, 0.50, 3.73
4134.61, 0.50, 3.73
4134.87, 0.50, 3.73
4135.13, 0.50, 3.73
4135.38, 0.50, 3.73
4135.64, 0.50, 3.73
4135.90, 0.50, 3.73
4136.15, 0.50, 3.73
4136.41, 0.50, 3.73
4136.66, 0.49, 3.71
4136.91, 0.50, 3.74
4137.17, 0.50, 3.73
4137.43, 0.50, 3.73
4137.68, 0.50, 3.73
4137.93, 0.49, 3.71
4138.19, 0.50, 3.73
4138.45, 0.49, 3.71
4138.70, 0.50, 3.73
4138.95, 0.50, 3.73
4139.21, 0.50, 3.73
4139.46, 0.50, 3.73
4139.72, 0.49, 3.71
4139.97, 0.50, 3.73
4140.23, 0.50, 3.73
4140.48, 0.50, 3.73
4140.73, 0.49, 3.71
4140.99, 0.50, 3.74
4141.25, 0.50, 3.73
4141.50, 0.50, 3.73
4141.76, 0.50, 3.73
4142.02, 0.49, 3.71
4142.28, 0.50, 3.73
4142.53, 0.49, 3.71
4142.78, 0.49, 3.71
4143.03, 0.50, 3.76
4143.29, 0.49, 3.71
4143.55, 0.50, 3.73
4143.81, 0.50, 3.73
4144.06, 0.50, 3.73
4144.32, 0.50, 3.73
4144.57, 0.50, 3.74
4144.82, 0.50, 3.73
4145.08, 0.50, 3.74
4145.33, 0.50, 3.73
4145.59, 0.50, 3.73
4145.84, 0.49, 3.71
4146.10, 0.50, 3.73
4146.35, 0.50, 3.73
4146.60, 0.49, 3.71
4146.85, 0.50, 3.73
4147.11, 0.50, 3.73
4147.37, 0.50, 3.73
4147.63, 0.50, 3.73
4147.89, 0.50, 3.73
4148.14, 0.50, 3.74
4148.40, 0.50, 3.73
4148.66, 0.50, 3.73
4148.91, 0.50, 3.73
4149.17, 0.50, 3.73
4149.42, 0.50, 3.73
4149.67, 0.50, 3.73
4149.93, 0.50, 3.73
4150.19, 0.50, 3.74
4150.44, 0.50, 3.73
4150.69, 0.50, 3.74
4150.95, 0.49, 3.71
4151.21, 0.50, 3.74
4151.46, 0.50, 3.73
4151.72, 0.50, 3.73
4151.97, 0.50, 3.73
4152.22, 0.50, 3.73
4152.48, 0.50, 3.73
4152.74, 0.50, 3.73
4152.99, 0.50, 3.73
4153.24, 0.50, 3.73
4153.50, 0.50, 3.73
4153.75, 0.50, 3.73
4154.00, 0.50, 3.73
4154.27, 0.50, 3.73
4154.52, 0.50, 3.73
4154.78, 0.50, 3.73
4155.03, 0.50, 3.73
4155.29, 0.49, 3.71
4155.55, 0.50, 3.73
4155.80, 0.50, 3.73
4156.06, 0.50, 3.73
4156.31, 0.50, 3.73
4156.57, 0.50, 3.73
4156.82, 0.50, 3.73
4157.07, 0.50, 3.73
4157.32, 0.50, 3.73
4157.57, 0.50, 3.73
4157.83, 0.50, 3.73
4158.08, 0.50, 3.73
4158.34, 0.50, 3.73
4158.60, 0.50, 3.73
4158.85, 0.50, 3.73
4159.10, 0.49, 3.71
4159.36, 0.50, 3.73
4159.62, 0.50, 3.73
4159.87, 0.50, 3.73
4160.13, 0.50, 3.73
4160.38, 0.50, 3.73
4160.64, 0.50, 3.73
4160.89, 0.49, 3.71
4161.15, 0.49, 3.71
4161.40, 0.50, 3.73
4161.65, 0.50, 3.73
4161.91, 0.50, 3.73
4162.17, 0.49, 3.71
4162.42, 0.50, 3.73
4162.67, 0.50, 3.74
4162.93, 0.50, 3.73
4163.18, 0.50, 3.73
4163.43, 0.50, 3.73
4163.69, 0.50, 3.73
4163.95, 0.50, 3.73
4164.20, 0.50, 3.73
4164.45, 0.50, 3.73
4164.70, 0.50, 3.73
4164.96, 0.50, 3.73
4165.21, 0.50, 3.74
4165.47, 0.50, 3.74
4165.73, 0.50, 3.73
4165.98, 0.49, 3.71
4166.24, 0.50, 3.73
4166.50, 0.50, 3.73
4166.75, 0.49, 3.71
4167.01, 0.49, 3.71
4167.26, 0.50, 3.73
4167.51, 0.50, 3.73
4167.77, 0.49, 3.71
4168.03, 0.50, 3.73
4168.28, 0.50, 3.73
4168.53, 0.50, 3.73
4168.79, 0.50, 3.73
4169.04, 0.50, 3.73
4169.30, 0.50, 3.73
4169.56, 0.50, 3.73
4169.82, 0.50, 3.73
4170.07, 0.49, 3.71
4170.33, 0.50, 3.73
4170.58, 0.50, 3.73
4170.84, 0.50, 3.73
4171.09, 0.50, 3.73
4171.35, 0.50, 3.73
4171.60, 0.49, 3.71
4171.86, 0.50, 3.73
4172.12, 0.49, 3.71
4172.37, 0.50, 3.73
4172.63, 0.49, 3.71
4172.88, 0.50, 3.73
4173.14, 0.50, 3.73
4173.39, 0.49, 3.71
4173.64, 0.50, 3.73
4173.90, 0.50, 3.73
4174.16, 0.49, 3.71
4174.41, 0.49, 3.71
4174.66, 0.50, 3.73
4174.92, 0.49, 3.71
4175.17, 0.49, 3.71
4175.43, 0.49, 3.71
4175.68, 0.50, 3.73
4175.93, 0.50, 3.73
4176.19, 0.50, 3.73
4176.45, 0.50, 3.73
4176.71, 0.49, 3.71
4176.96, 0.49, 3.71
4177.22, 0.49, 3.71
4177.47, 0.50, 3.73
4177.72, 0.50, 3.73
4177.98, 0.50, 3.73
4178.24, 0.50, 3.73
4178.49, 0.50, 3.73
4178.75, 0.49, 3.71
4179.00, 0.50, 3.73
4179.26, 0.50, 3.73
4179.52, 0.50, 3.73
4179.78, 0.49, 3.71
4180.04, 0.50, 3.73
4180.29, 0.50, 3.73
4180.54, 0.50, 3.73
4180.79, 0.49, 3.71
4181.04, 0.50, 3.73
4181.30, 0.50, 3.73
4181.56, 0.50, 3.73
4181.81, 0.49, 3.71
4182.07, 0.50, 3.74
4182.33, 0.50, 3.73
4182.58, 0.49, 3.71
4182.83, 0.49, 3.71
4183.09, 0.50, 3.73
4183.34, 0.50, 3.73
4183.59, 0.50, 3.73
4183.85, 0.50, 3.73
4184.10, 0.50, 3.73
4184.35, 0.50, 3.73
4184.61, 0.50, 3.73
4184.87, 0.50, 3.73
4185.12, 0.50, 3.73
4185.38, 0.50, 3.73
4185.63, 0.50, 3.73
4185.88, 0.50, 3.73
4186.13, 0.50, 3.73
4186.39, 0.50, 3.74
4186.65, 0.50, 3.73
4186.90, 0.50, 3.73
4187.16, 0.50, 3.74
4187.41, 0.50, 3.73
4187.67, 0.50, 3.73
4187.93, 0.50, 3.73
4188.18, 0.50, 3.73
4188.43, 0.50, 3.73
4188.69, 0.49, 3.71
4188.94, 0.50, 3.73
4189.19, 0.50, 3.73
4189.44, 0.50, 3.73
4189.69, 0.50, 3.73
4189.94, 0.50, 3.73
4190.20, 0.50, 3.73
4190.46, 0.50, 3.73
4190.71, 0.50, 3.74
4190.97, 0.50, 3.73
4191.23, 0.50, 3.73
4191.48, 0.50, 3.73
4191.74, 0.50, 3.73
4191.99, 0.50, 3.73
4192.24, 0.50, 3.73
4192.50, 0.50, 3.73
4192.75, 0.49, 3.71
4193.00, 0.50, 3.73
4193.25, 0.50, 3.73
4193.51, 0.50, 3.73
4193.76, 0.50, 3.73
4194.01, 0.49, 3.71
4194.27, 0.50, 3.73
4194.52, 0.49, 3.71
4194.78, 0.49, 3.71
4195.03, 0.50, 3.73
4195.29, 0.50, 3.73
4195.54, 0.50, 3.73
4195.80, 0.49, 3.71
4196.05, 0.49, 3.71
4196.31, 0.50, 3.73
4196.57, 0.50, 3.73
4196.82, 0.50, 3.73
4197.08, 0.49, 3.71
4197.33, 0.50, 3.73
4197.59, 0.50, 3.73
4197.85, 0.49, 3.71
4198.11, 0.50, 3.73
4198.36, 0.49, 3.71
4198.61, 0.50, 3.73
4198.87, 0.50, 3.73
4199.12, 0.50, 3.73
4199.37, 0.50, 3.73
4199.62, 0.50, 3.73
4199.88, 0.50, 3.73
4200.13, 0.49, 3.71
4200.38, 0.50, 3.73
4200.63, 0.50, 3.73
4200.89, 0.50, 3.73
4201.14, 0.50, 3.73
4201.39, 0.50, 3.73
4201.64, 0.50, 3.73
4201.90, 0.50, 3.73
4202.16, 0.50, 3.73
4202.41, 0.49, 3.71
4202.66, 0.49, 3.71
4202.92, 0.49, 3.71
4203.17, 0.50, 3.74
4203.43, 0.49, 3.71
4203.68, 0.50, 3.73
4203.94, 0.50, 3.73
4204.19, 0.49, 3.71
4204.45, 0.50, 3.73
4204.70, 0.50, 3.73
4204.95, 0.49, 3.71
4205.20, 0.49, 3.71
4205.45, 0.49, 3.71
4205.71, 0.49, 3.71
4205.97, 0.49, 3.71
4206.22, 0.50, 3.73
4206.48, 0.50, 3.73
4206.74, 0.49, 3.71
4207.00, 0.50, 3.73
4207.26, 0.50, 3.73
4207.51, 0.50, 3.73
4207.77, 0.49, 3.71
4208.03, 0.50, 3.73
4208.28, 0.50, 3.73
4208.54, 0.50, 3.73
4208.79, 0.50, 3.73
4209.05, 0.49, 3.71
4209.30, 0.49, 3.71
4209.56, 0.50, 3.73
4209.81, 0.49, 3.71
4210.07, 0.49, 3.71
4210.32, 0.50, 3.73
4210.57, 0.49, 3.71
4210.83, 0.50, 3.73
4211.08, 0.49, 3.71
4211.34, 0.50, 3.73
4211.59, 0.50, 3.73
4211.84, 0.49, 3.71
4212.10, 0.49, 3.71
4212.35, 0.50, 3.73
4212.61, 0.50, 3.73
4212.87, 0.50, 3.73
4213.12, 0.50, 3.74
4213.37, 0.50, 3.73
4213.63, 0.49, 3.71
4213.88, 0.50, 3.73
4214.14, 0.50, 3.73
4214.39, 0.50, 3.73
4214.65, 0.50, 3.73
4214.90, 0.50, 3.73
4215.15, 0.50, 3.73
4215.40, 0.50, 3.73
4215.65, 0.49, 3.71
4215.90, 0.50, 3.73
4216.16, 0.50, 3.73
4216.42, 0.49, 3.71
4216.67, 0.50, 3.73
4216.93, 0.50, 3.74
4217.18, 0.50, 3.73
4217.44, 0.50, 3.73
4217.70, 0.50, 3.73
4217.96, 0.50, 3.73
4218.21, 0.50, 3.73
4218.47, 0.50, 3.73
4218.72, 0.50, 3.73
4218.98, 0.50, 3.73
4219.23, 0.50, 3.73
4219.49, 0.50, 3.73
4219.74, 0.50, 3.73
4220.00, 0.50, 3.73
4220.25, 0.50, 3.73
4220.51, 0.50, 3.73
4220.76, 0.50, 3.73
4221.02, 0.50, 3.73
4221.27, 0.50, 3.73
4221.53, 0.50, 3.73
4221.79, 0.49, 3.71
4222.04, 0.49, 3.71
4222.29, 0.50, 3.73
4222.54, 0.50, 3.73
4222.80, 0.50, 3.73
4223.05, 0.50, 3.73
4223.30, 0.50, 3.74
4223.56, 0.50, 3.73
4223.81, 0.50, 3.73
4224.07, 0.50, 3.73
4224.33, 0.50, 3.73
4224.58, 0.50, 3.73
4224.84, 0.50, 3.73
4225.09, 0.50, 3.73
4225.34, 0.50, 3.73
4225.60, 0.50, 3.73
4225.85, 0.50, 3.73
4226.10, 0.50, 3.73
4226.36, 0.50, 3.74
4226.61, 0.49, 3.71
4226.87, 0.50, 3.73
4227.12, 0.50, 3.73
4227.37, 0.50, 3.73
4227.63, 0.49, 3.71
4227.89, 0.50, 3.73
4228.14, 0.50, 3.73
4228.40, 0.50, 3.73
4228.65, 0.50, 3.73
4228.91, 0.50, 3.73
4229.16, 0.50, 3.74
4229.41, 0.50, 3.73
4229.67, 0.50, 3.73
4229.93, 0.50, 3.73
4230.19, 0.50, 3.73
4230.44, 0.49, 3.71
4230.69, 0.50, 3.74
4230.95, 0.50, 3.73
4231.20, 0.50, 3.74
4231.46, 0.50, 3.73
4231.72, 0.50, 3.73
4231.97, 0.49, 3.71
4232.23, 0.50, 3.73
4232.48, 0.50, 3.73
4232.74, 0.50, 3.74
4232.99, 0.50, 3.74
4233.25, 0.50, 3.73
4233.50, 0.50, 3.73
4233.76, 0.50, 3.73
4234.01, 0.50, 3.73
4234.27, 0.50, 3.73
4234.52, 0.50, 3.73
4234.77, 0.50, 3.73
4235.02, 0.50, 3.74
4235.28, 0.50, 3.73
4235.54, 0.50, 3.73
4235.79, 0.50, 3.73
4236.04, 0.50, 3.73
4236.30, 0.50, 3.73
4236.56, 0.50, 3.73
4236.81, 0.50, 3.74
4237.07, 0.50, 3.73
4237.32, 0.50, 3.73
4237.57, 0.50, 3.73
4237.82, 0.50, 3.73
4238.07, 0.49, 3.71
4238.33, 0.50, 3.73
4238.58, 0.50, 3.73
4238.84, 0.50, 3.73
4239.09, 0.50, 3.73
4239.34, 0.50, 3.74
4239.60, 0.50, 3.73
4239.85, 0.50, 3.73
4240.11, 0.50, 3.73
4240.36, 0.50, 3.73
4240.62, 0.50, 3.73
4240.88, 0.50, 3.73
4241.13, 0.50, 3.73
4241.39, 0.50, 3.73
4241.64, 0.50, 3.73
4241.90, 0.50, 3.74
4242.16, 0.50, 3.74
4242.42, 0.49, 3.71
4242.67, 0.50, 3.73
4242.93, 0.50, 3.73
4243.18, 0.49, 3.71
4243.44, 0.49, 3.71
4243.69, 0.50, 3.73
4243.95, 0.50, 3.73
4244.21, 0.50, 3.73
4244.46, 0.50, 3.73
4244.71, 0.50, 3.73
4244.96, 0.50, 3.73
4245.21, 0.50, 3.73
4245.47, 0.50, 3.73
4245.72, 0.50, 3.73
4245.97, 0.50, 3.74
4246.23, 0.50, 3.73
4246.48, 0.50, 3.73
4246.74, 0.50, 3.73
4247.00, 0.50, 3.73
4247.25, 0.50, 3.73
4247.51, 0.50, 3.73
4247.76, 0.50, 3.73
4248.01, 0.50, 3.73
4248.27, 0.50, 3.73
4248.53, 0.50, 3.73
4248.79, 0.50, 3.73
4249.04, 0.50, 3.73
4249.30, 0.50, 3.74
4249.56, 0.50, 3.73
4249.81, 0.50, 3.73
4250.07, 0.50, 3.73
4250.32, 0.50, 3.73
4250.58, 0.50, 3.73
4250.83, 0.50, 3.73
4251.09, 0.50, 3.73
4251.34, 0.50, 3.73
4251.60, 0.50, 3.73
4251.86, 0.50, 3.73
4252.11, 0.50, 3.73
4252.37, 0.50, 3.73
4252.63, 0.50, 3.74
4252.88, 0.50, 3.73
4253.13, 0.50, 3.73
4253.38, 0.50, 3.73
4253.64, 0.50, 3.73
4253.89, 0.50, 3.73
4254.15, 0.50, 3.74
4254.40, 0.50, 3.73
4254.66, 0.50, 3.74
4254.91, 0.50, 3.73
4255.17, 0.50, 3.73
4255.42, 0.50, 3.73
4255.68, 0.50, 3.73
4255.94, 0.50, 3.74
4256.19, 0.50, 3.73
4256.45, 0.50, 3.74
4256.71, 0.50, 3.73
4256.96, 0.50, 3.74
4257.22, 0.50, 3.73
4257.47, 0.50, 3.73
4257.73, 0.50, 3.73
4257.98, 0.50, 3.73
4258.24, 0.49, 3.71
4258.49, 0.50, 3.73
4258.75, 0.50, 3.73
4259.00, 0.50, 3.73
4259.26, 0.50, 3.74
4259.52, 0.50, 3.73
4259.77, 0.50, 3.73
4260.03, 0.50, 3.73
4260.29, 0.50, 3.73
4260.55, 0.50, 3.73
4260.80, 0.50, 3.73
4261.06, 0.50, 3.73
4261.32, 0.50, 3.73
4261.57, 0.50, 3.73
4261.83, 0.50, 3.74
4262.08, 0.50, 3.73
4262.34, 0.50, 3.73
4262.59, 0.50, 3.73
4262.84, 0.50, 3.74
4263.10, 0.50, 3.73
4263.36, 0.50, 3.73
4263.61, 0.50, 3.74
4263.86, 0.50, 3.74
4264.12, 0.50, 3.73
4264.37, 0.50, 3.73
4264.63, 0.50, 3.73
4264.88, 0.50, 3.73
4265.13, 0.50, 3.73
4265.39, 0.50, 3.73
4265.64, 0.50, 3.73
4265.90, 0.50, 3.73
4266.15, 0.50, 3.73
4266.41, 0.50, 3.73
4266.67, 0.50, 3.73
4266.92, 0.50, 3.73
4267.17, 0.49, 3.71
4267.42, 0.50, 3.73
4267.68, 0.50, 3.73
4267.93, 0.50, 3.74
4268.19, 0.50, 3.73
4268.44, 0.50, 3.73
4268.69, 0.50, 3.74
4268.94, 0.50, 3.73
4269.20, 0.50, 3.73
4269.45, 0.50, 3.74
4269.71, 0.50, 3.73
4269.97, 0.50, 3.73
4270.22, 0.50, 3.73
4270.47, 0.50, 3.73
4270.73, 0.50, 3.73
4270.99, 0.50, 3.73
4271.25, 0.50, 3.73
4271.51, 0.50, 3.73
4271.76, 0.50, 3.73
4272.01, 0.50, 3.73
4272.27, 0.50, 3.73
4272.52, 0.50, 3.73
4272.78, 0.50, 3.73
4273.04, 0.50, 3.73
4273.29, 0.50, 3.73
4273.55, 0.50, 3.73
4273.81, 0.50, 3.74
4274.06, 0.50, 3.74
4274.31, 0.50, 3.73
4274.56, 0.50, 3.73
4274.82, 0.50, 3.73
4275.08, 0.49, 3.71
4275.34, 0.50, 3.73
4275.59, 0.50, 3.73
4275.85, 0.50, 3.73
4276.10, 0.49, 3.71
4276.36, 0.50, 3.73
4276.61, 0.50, 3.73
4276.87, 0.50, 3.74
4277.12, 0.49, 3.71
4277.38, 0.50, 3.74
4277.63, 0.50, 3.73
4277.89, 0.50, 3.73
4278.14, 0.50, 3.73
4278.40, 0.50, 3.73
4278.65, 0.50, 3.73
4278.91, 0.50, 3.73
4279.16, 0.50, 3.76
4279.42, 0.50, 3.73
4279.67, 0.50, 3.73
4279.93, 0.50, 3.73
4280.19, 0.50, 3.73
4280.45, 0.49, 3.71
4280.70, 0.49, 3.71
4280.96, 0.50, 3.73
4281.21, 0.50, 3.73
4281.46, 0.49, 3.71
4281.71, 0.49, 3.71
4281.97, 0.50, 3.73
4282.23, 0.50, 3.73
4282.48, 0.50, 3.74
4282.73, 0.50, 3.73
4282.99, 0.50, 3.73
4283.25, 0.50, 3.73
4283.50, 0.50, 3.73
4283.75, 0.50, 3.73
4284.01, 0.50, 3.73
4284.26, 0.49, 3.71
4284.51, 0.50, 3.73
4284.77, 0.50, 3.73
4285.03, 0.50, 3.73
4285.29, 0.50, 3.73
4285.54, 0.49, 3.71
4285.79, 0.49, 3.71
4286.05, 0.50, 3.73
4286.31, 0.50, 3.73
4286.56, 0.50, 3.74
4286.81, 0.50, 3.74
4287.07, 0.50, 3.73
4287.32, 0.50, 3.73
4287.58, 0.50, 3.73
4287.83, 0.50, 3.73
4288.09, 0.49, 3.71
4288.34, 0.50, 3.73
4288.59, 0.50, 3.73
4288.85, 0.50, 3.73
4289.10, 0.50, 3.73
4289.35, 0.50, 3.73
4289.60, 0.50, 3.73
4289.86, 0.49, 3.71
4290.11, 0.50, 3.74
4290.36, 0.50, 3.73
4290.62, 0.50, 3.73
4290.88, 0.50, 3.73
4291.13, 0.50, 3.73
4291.38, 0.50, 3.73
4291.64, 0.50, 3.73
4291.90, 0.50, 3.73
4292.15, 0.50, 3.73
4292.40, 0.50, 3.73
4292.66, 0.49, 3.71
4292.91, 0.50, 3.74
4293.16, 0.50, 3.73
4293.42, 0.50, 3.73
4293.67, 0.49, 3.71
4293.93, 0.50, 3.73
4294.18, 0.50, 3.73
4294.43, 0.50, 3.73
4294.69, 0.50, 3.73
4294.95, 0.50, 3.73
4295.20, 0.50, 3.73
4295.45, 0.49, 3.71
4295.70, 0.50, 3.73
4295.96, 0.50, 3.73
4296.21, 0.50, 3.73
4296.47, 0.49, 3.71
4296.73, 0.50, 3.73
4296.99, 0.49, 3.71
4297.24, 0.49, 3.71
4297.49, 0.49, 3.71
4297.75, 0.50, 3.73
4298.00, 0.50, 3.73
4298.25, 0.50, 3.73
4298.50, 0.50, 3.73
4298.76, 0.50, 3.73
4299.01, 0.50, 3.73
4299.27, 0.50, 3.73
4299.53, 0.50, 3.73
4299.78, 0.49, 3.71
4300.03, 0.49, 3.71
4300.28, 0.49, 3.71
4300.53, 0.50, 3.73
